NO,TANGGAL,PENGELUARAN,,NOMINAL,ADMIN,KETERANGAN ,Keterangan Perbaikan ,,,,,,,
,"Minggu, 21 September 2025",Bongkar Pasang Ban Depan Kanan ,,"50.000,00",,SIS Tambal Ban Rembang,Double Marset,,,,,,,
,,Marset Ori Bekas,1 pcs ,"40.000,00",,SIS Tambal Ban Rembang,,,,,,,,
,"Selasa, 23 September 2025",Box Bekas,,"250.000,00",,Pak Nor Tuban,,,,,,,,
,,Las & Baut BoX,,"100.000,00",,Pak Nor Tuban,,,,,,,,
,"Kamis, 25 September 2025",Mbah Man Pengurus SILOG,,"150.000,00",,SILOG,Perbulan tiap tanggal 25 ,,,,,,,
,"Jumat, 26 September 2025",Talang Air,1 Set,"130.000,00",,Shopee Mas Yono,,,,,,,,
,"Jumat, 26 September 2025",Dongkrak Bekas 50 Ton,,"300.000,00",,Temen Mas Khoirul ,Kunci Roda 100.000,,,,,,,
,"Jumat, 26 September 2025",Cuci Truk,,"100.000,00",,Bu Asiyah Tambakboyo ,,,,,,,,
,,,,,,,,,,,,,,
,"Rabu, 1 Oktober 2025",Baut Roda Belakang Kiri,5 pcs ,"165.446,67",,Shopee,"Stok 6 kiri, dipinjam kiri 2, kanan 3, Beli tanggal 28 Sep 25",,,,,,,
,,Filter Solar Atas HOP,1 pcs,"50.000,00",,Jaya Subur,"Stok, Beli tanggal 30 Sep 25",,,,,,,
,"Rabu, 1 Oktober 2025",Setting Klep,,"200.000,00",,Novan Silog,Setting tanggal 27 Sep 25,,,,,,,
,"Kamis, 2 Oktober 2025",List Kaca Film,,"100.000,00",,Variasi Mobil Parahyangan Kudus,Kaca Film depan pinggiran mengkerut,,,,,,,
,"Sabtu, 4 Oktober 2025",Mahkota dijual,,"500.000,00",,Pakdhe mas Khoirul ,Catatan Saja,,,,,,,
,,Thule Kaki 2,,"750.000,00",,Zidan Variasi,"Catatan Saja, tambah pribadi 250.000",,,,,,,
,"Senin, 6 Oktober 2025",Storing Kaca Depan Kanan Tidak Bisa Naik,,"150.000,00",,Mbah Datuk Tuban,,,,,,,,
,"Selasa, 7 Oktober 2025",STNK 4/12,,"400.000,00",,,,,,,,,,
,"Selasa, 7 Oktober 2025",Kerucut Oranye,1 pcs,"101.603,50",,Shopee,,,,,,,,
,"Selasa, 7 Oktober 2025",Baut Roda Depan Kanan,1 pcs,"35.161,67",,Shopee ,Stock depan kanan 1,,,,,,,
,,Baut Roda Depan Kiri,1 pcs,"35.161,67",,Shopee ,Stock depan kanan 1,,,,,,,
,"Jumat, 10 Oktober 2025",Jasa Bongkar Baut Roda Belakang Kiri,3 pcs ,"50.000,00",,Adi Jaya Ban,"Sisa Stock baut roda 3 kiri, patah 3 engkel",,,,,,,
,,Jasa Bongkar Baut Roda Belakang Kanan,2 pcs,"50.000,00",,Adi Jaya Ban,"Sisa Stock baut roda 1 kanan, patah 2 engkel",,,,,,,
,,Kontrol Baut Roda,2 pasang,"40.000,00",,Adi Jaya Ban,,,,,,,,
,,Kontrol Angin Ban + Semprot Radiator +Filter Udara Mesin + Filter Udara Hori,10 ban,"45.000,00",,Adi Jaya Ban,,,,,,,,
,"Jumat, 10 Oktober 2025",Repair/Lem Karet Manhole Atas Tangki,,"80.000,00",,Pak Nor Tuban,,,,,,,,
,"Jumat, 10 Oktober 2025",Stel Rem ,,"50.000,00",,Mbah Datuk Tuban,,,,,,,,
,,Meditran SX (Tambah Oli Mesin),4 liter,"175.000,00",,Mbah Datuk Tuban,"Km 8000, sisa 1 liter",,,,,,,
,"Jumat, 10 Oktober 2025",Baut Roda Belakang Kiri,5 pcs ,"159.350,00",,Shopee,Stock baut roda 8 kiri,,,,,,,
,,Baut Roda Belakang Kanan,5 pcs ,"159.350,00",,Shopee,Stock baut roda 6 kanan,,,,,,,
,"Sabtu, 11 Oktober 2025",Kerucut Oranye,1 pcs,"101.603,50",,Shopee,,,,,,,,
,"Sabtu, 11 Oktober 2025",Wiper Hybrid,1 set ,"90.000,00",,Tiktok Mas Yon,,,,,,,,
,"Sabtu, 11 Oktober 2025",Kabel ,7 meter,"35.000,00",,RSP Electric Tuban,,,,,,,,
,,Pasang Lampu Samping ,,"100.000,00",,RSP Electric Tuban,Lampu samping mati,,,,,,,
,"Minggu, 12 Oktober 2025",Air Aki,3 liter,"30.000,00",,RSP Electric Tuban,,,,,,,,
,"Senin, 13 Oktober 2025",GPS Inova Track (SBI) 3/12,,"166.500,00",,,,,,,,,,
