NO,TANGGAL ORDER,TANGGAL BONGKAR,KOTA,TUJUAN BONGKAR, TARIF , TONASE MUAT , TONASE BONGKAR , OMSET , PAJAK 1% , POT LJU 2% , UJ GRB 5% , SANGU (31 TON) , PROFIT , TOLERANSI 0.3% , SELISIH MUAT , KLAIM , KLAIM DRIVER ,PEMBAYARAN, INSENTIF ,DIBAYARKAN,PEMBAYARAN,TABUNGAN,PEMBAYARAN,BANTUAN UANG MAKAN,PEMBAYARAN,MAS MAWAN (CV. SATRIA PERWIRA)/DO,PEMBAYARAN,CATATAN,,
35,"Rabu, 28 Januari 2026","Kamis, 29 Januari 2026",SEMARANG BF12,JIANHUA PRECAST (SAYUNG),"120.890,9","31,42","31,30","  3.783.885,17 ","  37.838,85 ",,,"1.900.000,00","1.733.176,32","0,09","0,12","25.740,00","12.870,00",Belum Dipotong,"35.000,00","0,00",Sudah dibayar 17 Mar 26,"50.000,00",Sudah dibayar 17 Mar 26,"0,00",-,"100.000,00",Sudah dibayar 5 Feb 26 7 rit,31.42 jadi 31.3 selisih 120kg,,
36,"Jumat, 30 Januari 2026","Minggu, 1 Februari 2026",SEMARANG BF12,JIANHUA PRECAST (SAYUNG),"120.890,9","32,64","32,64","  3.945.878,98 ","  39.458,79 ",,,"1.900.000,00","1.821.420,19","0,10","0,00","0,00","0,00",-,"35.000,00","35.000,00",Sudah dibayar 17 Mar 26,"50.000,00",Sudah dibayar 17 Mar 26,"50.000,00",Sudah dibayar 4 Feb 26,"100.000,00",Sudah dibayar 5 Feb 26 7 rit,,,
37,"Rabu, 4 Februari 2026","Kamis, 5 Februari 2026",UNGARAN,KH BETON (UNGARAN),190.080,"27,42","27,32","  5.192.985,60 ","  51.929,86 ",,,"2.700.000,00","2.332.185,74","0,08","0,10","17.740,00","8.870,00",Belum Dipotong,"50.000,00","0,00",Sudah dibayar 17 Mar 26,"50.000,00",Sudah dibayar 17 Mar 26,"0,00",-,"100.000,00",Sudah dibayar 5 Feb 26 7 rit,"27.42 jadi 27.32, selisih 100kg. Batas Muatan 29 Ton Bawen, 5 Feb 26 Mas Wawan 11 rit (4 rit putih, 7 rit hijau)",,
38,"Sabtu, 7 Februari 2026","Minggu, 8 Februari 2026",SEMARANG,ARIES PUTRA BETON (SEMARANG),116.554,"34,52","34,52","  4.023.444,08 ","  40.234,44 ",,,"1.900.000,00","1.878.209,64","0,10","0,00","0,00","0,00",-,"35.000,00","105.000,00",Sudah dibayar 17 Mar 26,Tidak Potong,Sudah dibayar 17 Mar 26,"0,00",-,"100.000,00",Sudah dibayar 26 Feb 26 8 rit,,,
39,"Senin, 9 Februari 2026","Selasa, 10 Februari 2026",SEMARANG,ARIES PUTRA BETON (SEMARANG),116.554,"34,04","34,04","  3.967.498,16 ","  39.674,98 ",,,"1.900.000,00","1.822.823,18","0,10","0,00","0,00","0,00",-,"35.000,00","105.000,00",Sudah dibayar 17 Mar 26,Tidak Potong,Sudah dibayar 17 Mar 26,"0,00",-,"100.000,00",Sudah dibayar 26 Feb 26 8 rit,,,
40,"Kamis, 12 Februari 2026","Jumat, 13 Februari 2026",SEMARANG,JIANHUA PRECAST (SAYUNG),116.554,"34,88","34,71","  4.045.589,34 ","  40.455,89 ",,,"1.831.000,00","1.936.453,45","0,10","0,17","65.360,00","32.680,00",Belum Dipotong,"35.000,00","105.000,00",Sudah dibayar 17 Mar 26,"50.000,00",Sudah dibayar 17 Mar 26,"0,00",-,"100.000,00",Sudah dibayar 26 Feb 26 8 rit,"34.88 jadi 34,71 selisih 170kg",,
41,"Minggu, 15 Februari 2026","Selasa, 17 Februari 2026",UNGARAN,APB BP BAWEN / TOL JBW SEC 6 (BAWEN),190.080,"30,28","30,07","  5.715.705,60 ","  57.157,06 ",,,"2.800.000,00","2.698.968,54","0,09","0,21","119.160,00","59.580,00",Belum Dipotong,"50.000,00","0,00",Sudah dibayar 17 Mar 26,"50.000,00",Sudah dibayar 17 Mar 26,"0,00",-,"100.000,00",Sudah dibayar 26 Feb 26 8 rit,"30,28 jadi 30,07 selisih 210kg",,
42,"Rabu, 18 Februari 2026","Jumat, 20 Februari 2026",UNGARAN,APB BP BAWEN / TOL JBW SEC 6 (BAWEN),190.080,"30,74","30,59","  5.814.547,20 ","  58.145,47 ",,,"2.800.000,00","2.777.511,73","0,09","0,15","57.780,00","28.890,00",Belum Dipotong,"50.000,00","0,00",Sudah dibayar 17 Mar 26,"50.000,00",Sudah dibayar 17 Mar 26,"50.000,00",Sudah dibayar 21 Feb 26,"100.000,00",Sudah dibayar 26 Feb 26 8 rit,"30,74 jadi 30,59 selisih 150kg",,
43,"Sabtu, 21 Februari 2026","Senin, 23 Februari 2026",SEMARANG,VUB BP SEMARANG (SEMARANG),116.554,"31,84","31,84","  3.711.079,36 ","  37.110,79 ",,,"1.900.000,00","1.673.968,57","0,10","0,00","0,00","0,00",-,"35.000,00","0,00",Sudah dibayar 17 Mar 26,"50.000,00",Sudah dibayar 17 Mar 26,"0,00",-,"100.000,00",Sudah dibayar 26 Feb 26 8 rit,,,
44,"Rabu, 25 Februari 2026","Jumat, 27 Februari 2026",SEMARANG,JIANHUA PRECAST (SAYUNG),116.554,"31,18","30,86","  3.596.856,44 ","  35.968,56 ",,,"1.900.000,00","1.447.657,88","0,09","0,32","226.460,00","113.230,00",Belum Dipotong,"35.000,00","0,00",Sudah dibayar 17 Mar 26,"50.000,00",Sudah dibayar 17 Mar 26,"0,00",-,"100.000,00",Sudah dibayar 26 Feb 26 8 rit,"31,18 jadi 30,86 selisih 320kg. 26 Feb 26 Mas Wawan 15 rit (8 rit putih, 7 rit hijau)",,
