NO,TANGGAL,PENGELUARAN,,NOMINAL,KETERANGAN ,Keterangan Perbaikan ,,,,,,,
,,HCL,,"25.000,00",,,,,,,,,
,,Thiner B,,"13.000,00",,,,,,,,,
,,Jas Temen Mas Khoirul ,,"97.000,00",Sluke,,,,,,,,
,"Selasa, 31 Maret 2026",Pak Udin Pengurus SILOG,,"150.000,00",SILOG,"Perbulan tiap tanggal 25 (Februari, Maret Pending)",,,,,,,
,"Selasa, 31 Maret 2026",STNK 8/12,,"400.000,00",,,,,,,,,
,,,,,,,,,,,,,
,"Kamis, 2 April 2026",Scotlight Merah 1 meter Kuning 1 meter,2 m,"20.000,00",Toko Akbar Tuban ,Pendaftaran Indocement,,,,,,,
,,Scotlight Merah 2.5 meter,2.5 m,"25.000,00",Toko Akbar Tuban ,Pendaftaran Indocement,,,,,,,
,,Lem Fox Buat Karet Manhole ,,"25.000,00",Toko Akbar Tuban ,,,,,,,,
,"Kamis, 2 April 2026",GPS Easygo (SI) 9/12,,"122.100,00",,,,,,,,,
,"Kamis, 2 April 2026",GPS Inova Track (SBI) 8/12,,"166.500,00",,,,,,,,,
,"Jumat, 3 April 2026",Jasa Ganti Filter Solar Atas Bawah,,"30.000,00",Mbah Datuk,,,,,,,,
,"Minggu, 5 April 2026",Klem Aki,,"45.000,00",RSP Elctric,,,,,,,,
,,Sepul Aki,,"50.000,00",RSP Elctric,,,,,,,,
,"Selasa, 7 April 2026",Barcode Truk H81833OF,,"450.000,00",,,,,,,,,
,"Kamis, 9 April 2026",Seal Rem Belakang,2 pcs,"40.000,00",Mbah Datuk,,,,,,,,
,,Seal Tromol Belakang,1 pcs ,"70.000,00",Mbah Datuk,,,,,,,,
,,Minyak Rem Jumbo,1 pcs ,"70.000,00",Mbah Datuk,,,,,,,,
,,Stempet Rotari,,"45.000,00",Mbah Datuk,,,,,,,,
,,Jasa Bongkar Pasang Seal Tromol Belakang Engkel Kiri ,,"200.000,00",Mbah Datuk,,,,,,,,
,"Sabtu, 11 April 2026",Liner NPR 3mm 650rb,6 pcs ,"3.900.000,00",Surabaya (Pak Dedi),,,,,,,,
,,Ring Piston,1 set,"1.350.000,00",Surabaya (Pak Dedi),,,,,,,,
,,Metal Jalan Standar ,,"550.000,00",Surabaya (Pak Dedi),,,,,,,,
,,Packing Kalter,,"65.000,00",Surabaya (Pak Dedi),,,,,,,,
,,Lem Trebond Abu2,2 pcs,"60.000,00",Surabaya (Pak Dedi),,,,,,,,
,,Lem Booster,1 pcs,"35.000,00",Surabaya (Pak Dedi),,,,,,,,
,,Ongkir ,,"100.000,00",Surabaya (Pak Dedi),,,,,,,,
,"Sabtu, 11 April 2026",Packing Silinder HOP,1 pcs,"1.100.000,00",Jaya Subur,,,,,,,,
,,Oli Mesin SX 10 liter,1 pcs,"490.000,00",Jaya Subur,,,,,,,,
,,Oli Mesin SX 4 liter,1 pcs,"200.000,00",Jaya Subur,,,,,,,,
,,Selang Kompresor,1 pcs,"200.000,00",Jaya Subur,,,,,,,,
,,Hikari Hijau,3 pcs,"105.000,00",Jaya Subur,,,,,,,,
,,Fuel Oli Lohan,1 pcs,"185.000,00",Jaya Subur,,,,,,,,
,,Tutup Radiator ,1 pcs,"65.000,00",Jaya Subur,,,,,,,,
,,Ongkir,,"75.000,00",Jaya Subur,,,,,,,,
